"","Species","0.5","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","NA","TD0","TD1","TD2","TD3","TD4","Fresh","Moist","Wet","SMR_Ind"
"76","ALLOVIR",0,0,0,0.0588235294117647,0,0.117647058823529,0.235294117647059,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.117647058823529,0,0,0,0,0.0588235294117647,0.235294117647059,0,0,0.0588235294117647,0.176470588235294,0.470588235294118,0.235294117647059,0,0.0588235294117647,"TD4"
"77","ALNUINC",0,0,0,0.00156903765690377,0.00156903765690377,0.00993723849372385,0.0460251046025105,0.0648535564853557,0.0878661087866109,0.0570083682008368,0.0831589958158996,0.119769874476987,0.12081589958159,0.0700836820083682,0.0240585774058577,0.164225941422594,0.149058577405858,0,0,0.00156903765690377,0.0130753138075314,0.123953974895398,0.228033472803347,0.310669456066946,0.188284518828452,"X"
"78","ALNURUB",0,0,0.00103199174406605,0.00825593395252838,0.021671826625387,0.00722394220846233,0.065015479876161,0.0567595459236326,0.0577915376676987,0.137254901960784,0.086687306501548,0.0835913312693498,0.229102167182663,0.0144478844169247,0.0340557275541796,0.086687306501548,0.110423116615067,0,0,0.00928792569659443,0.0381836945304438,0.159958720330237,0.281733746130031,0.327141382868937,0.120743034055728,"X"
"79","ALNUS",0,0,0,0,0,0.012987012987013,0.0974025974025974,0.0909090909090909,0.0974025974025974,0.0584415584415584,0.0909090909090909,0.0844155844155844,0.123376623376623,0.038961038961039,0.025974025974026,0.103896103896104,0.175324675324675,0,0,0,0.012987012987013,0.201298701298701,0.246753246753247,0.246753246753247,0.12987012987013,"X"
"80","ALNUVIR",0,0,0.000696015312336871,0.00261005742126327,0.0121802679658952,0.0285366278058117,0.085435879589351,0.132938924656342,0.148251261527754,0.095876109274404,0.0870019140421089,0.0767356881851401,0.0805637724029929,0.0247085435879589,0.0142683139029059,0.031146685227075,0.17904993909866,0,0,0.00330607273360014,0.0440229685053071,0.262397772751001,0.331129284844267,0.182008004176092,0.0454149991299809,"X"
"81","ALOPAEQ",0,0,0,0,0,0,0.0333333333333333,0.0333333333333333,0,0,0.133333333333333,0,0.0666666666666667,0.0666666666666667,0.1,0.233333333333333,0.333333333333333,0,0,0,0,0.0666666666666667,0.133333333333333,0.133333333333333,0.333333333333333,"W"
"86","ALYSALY",0.21875,0.0625,0.0625,0.1875,0.03125,0,0,0,0,0,0,0,0,0,0,0,0.4375,0.21875,0.5,0.75,0.78125,0.78125,0,0,0,"TD1"
"87","ALYSDES",0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545454545,0.0909090909090909,0.363636363636364,0.545454545454546,0.545454545454546,0.545454545454546,0,0,0,"TD1"
"88","AMBLSER",0,0,0,0.015625,0,0,0.0625,0.03125,0.046875,0.078125,0.0625,0.15625,0.109375,0.078125,0.015625,0.140625,0.203125,0,0,0.015625,0.015625,0.109375,0.1875,0.34375,0.15625,"X"
"90","AMBLYST",0,0,0,0,0.05,0.05,0,0,0,0.05,0,0,0.15,0.1,0.05,0.35,0.2,0,0,0,0.1,0.1,0.05,0.25,0.4,"W"
"91","AMBRCHA",0,0,0,0,0,0,0.272727272727273,0.454545454545455,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0,0.727272727272727,0.0909090909090909,0.181818181818182,0,"X"
"92","AMELALN",0.0325604966425947,0.00823514506524769,0.0304066894716838,0.0549854301279615,0.0823514506524769,0.102115798809071,0.145445331306221,0.122893703281389,0.0807044216394273,0.051184593944001,0.0353477765108324,0.0329405802609908,0.013049537564931,0.00532117065754466,0.00126694539465349,0.00481439249968326,0.196376536171291,0.0325604966425947,0.0733561383504371,0.158748257950082,0.343215507411631,0.61155454199924,0.167236792094261,0.0513112884834664,0.00608133789433675,"TD3"
"93","AMELANC",0,0,0.0769230769230769,0,0,0.0769230769230769,0.307692307692308,0.230769230769231,0.153846153846154,0.153846153846154,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.153846153846154,0.692307692307692,0.307692307692308,0,0,"TD4"
"98","AMPHNEV",0,0,0,0,0,0,0.230769230769231,0.153846153846154,0,0,0.0769230769230769,0,0,0,0.153846153846154,0,0.384615384615385,0,0,0,0,0.384615384615385,0.0769230769230769,0,0.153846153846154,"X"
"104","ANAPMAR",0.00127226463104326,0,0.0089058524173028,0.0101781170483461,0.0229007633587786,0.0368956743002544,0.089058524173028,0.0877862595419847,0.124681933842239,0.110687022900763,0.0852417302798982,0.0687022900763359,0.0966921119592875,0.0178117048346056,0.0089058524173028,0.0216284987277354,0.208651399491094,0.00127226463104326,0.00254452926208651,0.0216284987277354,0.0814249363867684,0.258269720101781,0.320610687022901,0.183206106870229,0.0305343511450382,"X"
"112","ANDRPOL",0,0,0,0,0,0,0,0,0.0128755364806867,0,0.00429184549356223,0.00429184549356223,0.0386266094420601,0.0386266094420601,0.0300429184549356,0.678111587982833,0.1931330472103,0,0,0,0,0,0.0171673819742489,0.0815450643776824,0.708154506437768,"W"
