,Species,SMR_Ind,Exceptions
3166,TIARTRI,M,
3167,TIMMAUS,X,
3168,TIMMCRA,,
3169,TIMMIA,X,
3170,TIMMMEG,X,
3171,TIMMNOR,TD2,
3172,TOFICOC,W,
3173,TOFIELD,X,
3174,TOFIPUS,,
3175,TOLMIEA,F,
3176,TOLMMEN,M,
3177,TOMEFAL,W,
3178,TOMENIT,W,
3179,TOMENTY,M,
3180,TONELYA,,
3181,TONINIA,TD0,
3182,TONISED,TD1,
3183,TORRPAL,W,
3184,TORTACA,TD0,
3185,TORTCER,TD4,
3186,TORTELL,,
3187,TORTFRA,X,
3188,TORTHOP,,
3189,TORTHUM,TD4,
3190,TORTMUC,,
3191,TORTMUR,X,
3192,TORTTOR,TD4,
3193,TORTULA,TD3,
3194,TOWNPAR,,
3195,TOXIRYD,TD1,
3196,TOXIVEN,TD1,
3197,TRACMEG,TD4,
3198,TRAGDUB,TD1,
3199,TRAGOPO,TD2,
3200,TRAGPRA,TD2,
3201,TRAPELI,,
3202,TRAPELO,,
3203,TRAPGRA,TD4,
3204,TRAUCAR,M,
3205,TRAUTVE,M,
3206,TREMATR,,
3207,TRIAGLU,W,
3208,TRIAOCC,,
3209,TRIBTER,TD4,
3210,TRICALP,W,
3211,TRICAUS,F,
3212,TRICCES,W,
3213,TRICHOP,W,
3214,TRICPUM,,
3215,TRIEBOR,X,
3216,TRIEEUR,W,
3217,TRIENTA,W,
3218,TRIFARV,,
3219,TRIFAUR,TD3,
3220,TRIFBIF,TD2,
3221,TRIFCAM,TD4,
3222,TRIFDUB,TD3,
3223,TRIFHYB,TD3,
3224,TRIFOLG,TD4,
3225,TRIFOLI,X,
3226,TRIFPRA,X,
3227,TRIFREP,TD3,
3228,TRIFWID,TD2,
3229,TRIFWOR,W,
3230,TRIGLOC,W,
3231,TRIGMAR,W,
3232,TRIGPAL,W,
3233,TRILLIU,TD3,
3234,TRILOVA,X,
3235,TRIOPER,TD2,
3236,TRIPLEU,F,
3237,TRISCAN,X,
3238,TRISCER,X,
3239,TRISETU,X,
3240,TRISSPI,,X
3241,TRITAES,,
3242,TRITEXS,,
3243,TRITGRA,,
3244,TRITHYA,TD3,
3245,TRITOMA,F,
3246,TRITSCI,W,
3247,TROLALB,M,
3248,TROLLIU,M,
3249,TSUGHEE,M,
3250,TSUGHET,X,
3251,TSUGMER,X,
3252,TUCKAME,TD4,
3253,TUCKCHL,TD0,
3254,TUCKERM,,
3255,TUCKPLA,,
3256,TURRGLA,X,
3257,TYPHA,,VW
3258,TYPHLAT,W,VW
3259,ULEXEUR,TD2,
3260,ULOTA,M,
3261,ULOTCUR,,
3262,ULOTOBT,M,
3263,UMBIAME,TD0,TD0
3264,UMBIANG,TD3,TD0
3265,UMBICYL,,TD0
3266,UMBIDEU,TD3,TD0
3267,UMBIHAV,TD1,TD0
3268,UMBIHYP,TD1,TD0
3269,UMBILIA,,TD0
3270,UMBILIC,TD1,TD0
3271,UMBILYN,,TD0
3272,UMBIPHA,TD0,TD0
3273,UMBIPOL,TD2,TD0
3274,UMBIPRO,,TD0
3275,UMBITOR,TD2,TD0
3276,UMBIVEL,TD0,TD0
3277,UMBIVIR,,TD0
3278,UNKNOWN,TD2,
3279,UROPLIN,TD2,
3280,URTICA,M,
3281,URTIDIO,M,
3282,USNEA,X,
3283,USNEFIL,M,
3284,USNEGLA,M,
3285,USNELAP,,
3286,USNELON,,
3287,UTRICUL,W,VW
3288,UTRIGIB,W,VW
3289,UTRIINT,W,VW
3290,UTRIMAC,,VW
3291,UTRIMIN,W,VW
3292,VACCALA,M,F
3293,VACCARI,TD4,
3294,VACCCAE,X,TD4
3295,VACCCOR,W,
3296,VACCDEL,X,
3297,VACCGLO,M,
3298,VACCHIS,TD0,
3299,VACCINI,X,
3300,VACCMAC,W,
3301,VACCMEM,X,
3302,VACCMYL,X,
3303,VACCMYT,F,
3304,VACCOVL,X,
3305,VACCOVT,X,
3306,VACCOXY,W,
3307,VACCPAR,X,
3308,VACCSCO,TD4,
3309,VACCULI,X,
3310,VACCVIT,X,
3311,VAHLATR,,
3312,VAHLODE,X,
3313,VALEDIO,,
3314,VALERIA,,
3315,VALERIN,TD4,
3316,VALESCO,,
3317,VALESIT,,F
3318,VALLAME,,VW
3319,VARIRHO,F,
3320,VERATRU,M,
3321,VERAVIR,M,
3322,VERBASC,,
3323,VERBTHA,TD1,
3324,VEROANA,X,
3325,VEROARV,,
3326,VEROBEC,W,
3327,VEROCAT,,
3328,VEROCUS,,
3329,VEROHED,,
3330,VERONIC,,
3331,VEROOFF,TD3,
3332,VEROPER,TD0,
3333,VEROSCU,W,
3334,VEROSER,,
3335,VEROVER,TD2,
3336,VEROWOR,,X
3337,VIBUEDU,X,
3338,VIBUOPU,X,
3339,VIBURNU,M,
3340,VICIA,TD3,
3341,VICIAME,X,
3342,VICICRA,X,
3343,VICIHIR,TD3,
3344,VICINIG,X,
3345,VICISAT,TD1,
3346,VICIVIL,TD0,
3347,VIOLA,X,
3348,VIOLADU,TD3,
3349,VIOLARV,,
3350,VIOLBIF,,
3351,VIOLCAN,X,
3352,VIOLEPI,W,
3353,VIOLGLA,M,
3354,VIOLLAC,,
3355,VIOLLAG,X,
3356,VIOLMAL,W,
3357,VIOLNEP,W,
3358,VIOLORB,X,
3359,VIOLPAL,W,
3360,VIOLPRA,TD2,
3361,VIOLPUR,TD3,
3362,VIOLREN,X,
3363,VIOLSEL,M,
3364,VIOLSEM,F,
3365,VIOLSOR,TD4,
3366,VIOLVAL,TD3,
3367,VULPBRO,TD2,
3368,VULPCAN,F,
3369,VULPICI,,
3370,VULPMIC,X,
3371,VULPMYU,TD3,
3372,VULPOCT,TD0,
3373,VULPPIN,TD4,
3374,VULPTIL,,
3375,WARNEXA,W,
3376,WARNFLU,W,
3377,WARNPSE,W,
3378,WARNSAR,W,
3379,WARNTUN,W,
3380,WAYNEA,TD4,
3381,WEISSIA,TD2,
3382,WOODALP,TD0,
3383,WOODGLA,TD2,
3384,WOODILV,X,
3385,WOODORE,TD0,
3386,WOODSCO,TD0,
3387,WOODSIA,TD0,
3388,XANTCAM,,
3389,XANTCAN,TD3,
3390,XANTCOL,TD3,
3391,XANTCUM,TD0,
3392,XANTELE,TD0,
3393,XANTFAL,TD0,
3394,XANTHIU,TD2,
3395,XANTHOP,TD0,
3396,XANTHOR,TD0,
3397,XANTNOO,M,
3398,XANTPAR,TD0,
3399,XANTPOL,TD0,
3400,XANTSOR,TD4,
3401,XANTWYO,TD0,
3402,XEROTEN,X,
3403,XYLOGRA,,
3404,XYLOVIT,X,
3405,ZANNPAL,W,
3406,ZIGADEN,TD2,
3407,ZYGOPHY,TD4,
