"220","ARTEABS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"221","ARTEBOR",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
"222","ARTECAM",36,5,35,54,9,24,8,NA,NA,NA,1,NA,1,NA,NA,1,25
"223","ARTEDRA",23,11,16,24,5,6,11,NA,1,NA,1,NA,NA,NA,NA,NA,20
"224","ARTEFRI",198,67,92,171,38,59,29,3,2,NA,2,NA,NA,NA,3,NA,121
"225","ARTEFUR",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","ARTELIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"227","ARTELUD",3,NA,2,NA,1,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,5
"228","ARTEMIC",16,2,3,7,NA,3,3,3,4,1,NA,2,2,NA,1,NA,23
"229","ARTEMIS",3,NA,5,3,1,3,3,6,1,1,NA,NA,2,1,NA,2,14
"230","ARTENOR",1,NA,2,6,4,15,19,26,47,37,25,21,24,3,5,3,1057
"231","ARTESUK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"232","ARTETIL",NA,NA,NA,1,NA,NA,1,3,1,1,1,4,2,NA,NA,1,13
"233","ARTETRI",162,58,54,49,9,12,25,2,2,NA,NA,NA,1,NA,1,NA,21
"234","ARTETRP",6,8,2,11,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2
"235","ARTHCIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"236","ARTHGLE",NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","ARTHROR",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","ARUNCUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,1,NA
"239","ASARCAU",NA,NA,NA,NA,3,10,27,42,62,77,66,19,91,15,2,10,65
"240","ASCLSPE",2,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"241","ASPAOFF",1,1,2,1,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","ASPICAE",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
